model,qid,concept,cot_minus_prompt_top10_mean_logprob,cot_minus_prompt_best_logprob
llama,q04,dolphin,1.0076520204544068,0.6819720268249512
llama,q04,elephant,-1.061704587936401,-1.2614285945892334
llama,q04,giraffe,-3.1748603163623557,-2.965945463569369
llama,q04,kangaroo,-1.3730957324271005,-1.6604774767765775
llama,q04,koala,0.3876550919250805,-0.3419098757149186
llama,q04,lion,-4.092487621307373,-3.2907724380493164
llama,q04,orangutan,-1.1944725287146873,-1.5951815694570541
llama,q04,panda,0.40540184974670446,0.23894166946411133
llama,q04,penguin,-0.21103984192013758,-0.400857612490654
llama,q05,chimpanzee,-1.0961847420372584,-1.6999456879584613
llama,q05,dolphin,1.0122758388519288,0.7099530696868896
llama,q05,elephant,-1.0274036884307862,-1.1996889114379883
llama,q05,giraffe,-3.0353302158808217,-2.799295058735879
llama,q05,kangaroo,-1.3456042338657426,-1.3199390650261194
llama,q05,koala,0.518071379254252,-0.3767498572851764
llama,q05,lion,-4.514318418502808,-3.929244041442871
llama,q05,orangutan,-1.2703831162303691,-1.328607426956296
llama,q05,panda,0.7463902950286867,0.09511375427246094
llama,q05,penguin,-0.01333111114799923,-0.25807706266641617
