model,qid,concept,prompt_top10_mean_logprob,cot_top10_mean_logprob,prompt_best_logprob,cot_best_logprob
llama,q04,giraffe,-1.95927734375,-5.134137660112356,-1.8173828125,-4.783328276069369
llama,q04,kangaroo,-4.4765625,-5.8496582324271005,-4.046875,-5.7073524767765775
llama,q04,koala,-5.8328125,-5.44515740807492,-4.87890625,-5.220816125714919
llama,q04,lion,-1.399853515625,-5.492341136932373,-0.72265625,-4.013428688049316
llama,q04,orangutan,-5.605859375,-6.800331903714687,-5.1015625,-6.696744069457054
llama,q04,panda,-5.245703125,-4.840301275253296,-4.453125,-4.214183330535889
llama,q04,penguin,-5.04765625,-5.258696091920138,-4.58203125,-4.982888862490654
llama,q05,chimpanzee,-4.344140625,-5.440325367037258,-3.34375,-5.043695687958461
llama,q05,dolphin,-2.06279296875,-1.0505171298980713,-1.716796875,-1.0068438053131104
llama,q05,elephant,-1.52724609375,-2.5546497821807863,-1.0908203125,-2.2905092239379883
llama,q05,giraffe,-1.95927734375,-4.994607559630822,-1.8173828125,-4.616677871235879
llama,q05,kangaroo,-4.4765625,-5.822166733865743,-4.046875,-5.366814065026119
llama,q05,koala,-5.8328125,-5.314741120745748,-4.87890625,-5.255656107285176
llama,q05,lion,-1.399853515625,-5.914171934127808,-0.72265625,-4.651900291442871
llama,q05,orangutan,-5.605859375,-6.876242491230369,-5.1015625,-6.430169926956296
llama,q05,panda,-5.245703125,-4.499312829971314,-4.453125,-4.358011245727539
llama,q05,penguin,-5.04765625,-5.060987361147999,-4.58203125,-4.840108312666416
